sequence,latitude,longitude,altitude
2022-07-10 18:19:27+00:00,32.6366,-117.0828,137.863866
2022-07-10 18:19:28+00:00,32.6366,-117.0828,137.863866
2022-07-10 18:19:28+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:29+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:30+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:31+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:32+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:33+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:34+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:35+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:36+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:37+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:38+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:38+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:39+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:40+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:41+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:41+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:42+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:43+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:44+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:45+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:46+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:47+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:48+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:49+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:50+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:50+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:51+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:51+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:52+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:53+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:53+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:54+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:55+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:55+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:56+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:19:56+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:57+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:58+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:19:59+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:00+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:01+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:02+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:03+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:04+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:05+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:06+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:07+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:07+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:20:08+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:20:09+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:20:10+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:20:11+00:00,32.6366,-117.0828,137.663866
2022-07-10 18:20:11+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:12+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:13+00:00,32.6366,-117.0828,137.763866
2022-07-10 18:20:14+00:00,32.6366,-117.0828,137.763866
